"title","stars","text"
"Pizza Hut - Union Place","3","Service must ne improved."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","4","Great location, friendly staff, they do have a kids play area as well."
"Pizza Hut - Union Place","5","I went on a dinner outing with my family recently, the staff was very helpful & they didn't bother to serve us frequently. Had a good experience & the staffs to keep up the good work"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5","Highly Recommend ❤️  & Superb Customer Service  ✌
Unbelievable Service  Thashmilaa Yatawara Thanku for your service"
"Pizza Hut - Union Place","5","Delicious foods, but more wating time"
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5","Excellent staff and food was great."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","This time we tried melts & it was 8/10 or maybe 7.5/10. I think their Pizza is better. And, Hiruni (The service girl), Hats off for your service."
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5","The Best pizza Hut I have ever visited, Food ,Service & Atmosphere is so good , perfect"
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5","Good place and good service"
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1","We placed an order and it came more than 1 hour late. The people we ordered for has already left the place and the food was there for no one to eat. The restaurant didnt even refund or do nothing.  It was a disaster.  The food was not warm even."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1","Poor service"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","2",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Decent spot to come and chill. The servers were really nice and helpful. They messed up our order and immediately apologized and offered to replace it. Quality service fitting the brand."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Aseeb s service was really good 👍🏻keep it up"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5","Great place and friendly staff service"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Fantastic service"
"Pizza Hut - Union Place","4","Location is good and very clean. But foods are not what expected. They are not served customers what are they shows on social media."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","2",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","The best experience I had after a long time"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4","I recently had the opportunity to dine at Pizza Hut Union Place, and overall, it was a good experience. The atmosphere of the restaurant was pleasant, and the food tasted delicious.

However, I feel that the dining experience could have been even better if the staff were a bit more polite. While they were efficient in serving the food, their demeanor lacked warmth and friendliness. It would have been nice to receive a warm welcome and feel more appreciated as a customer.

Despite this minor setback, Pizza Hut Union Place still offers a good dining experience, especially for pizza lovers. The quality of their food and the pleasant environment make it worth visiting. If the staff could improve their customer service skills, I believe this place would be even more enjoyable for diners."
"Pizza Hut - Union Place","5","I'm told this is the first ever Pizza Hut outlet in Sri Lanka. The atmosphere is nice and very private if you want to enjoy a nice lunch date during the weekend with some extra cold Coca-Cola.

In 2023, the staff is well trained and professional and always nearby to cater to the needs."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","It was fully crowded (Sunday)evening and staff did their best ... Appreciate their efforts..."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","2",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1","Delay"
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","As its a Central pizzahut and they have been here for so long the pizzas are nicer I must say I hope the other pizza huts take note too"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5","Best service ever."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","2","Pizza was too salty, paid for extra cheese, could not notice a difference with other pizzas we ordered, when we asked for drinks they only provided us with 1 glass for 4 people, the staff is inexperienced."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Chicken lasagna and Cheesy sausages Spaghetti was sooo yum.

Appreciable Customer service.

Clean and beautiful atmosphere"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Good"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","This is a good place with delicious pizzas and with friendly people who give amazing customer service."
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4","Drinks were properly made and tasted good. The pasta I ordered was mostly dry and too spicy for a pasta dish.
Staff were rather in a hurry to take the order but the trainee girl who ultimately attended to us later was very helpful and enthusiastic."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5","After a long time, we visited this Outlet to have a different Experience. Went with family to Celebrate our anniversary. It was very nice and enjoyed ourselves. I was surprised that all the staffs are Ladies on that day and they took care of our Kids and us very well. Thanks Pizza hut - Union Place."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4","Overall experience was ok"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","It's pizza, of course it's gonna be good 😂. Service was also excellent, attended to all our needs. But the atmosphere was quite dull, expected some light music at least."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Delicious food...Lava Cake is not tasty as before, loss choclate, more in to a cup cake"
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Very good customer service. Have never expected such a polite customer in any other branch."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
